id,type,source,target
1,0, 2,9
4,0, 8,9
5,0, 13,50
6,0, 14,50
7,0, 18,19
8,0, 19,20

10,0, 22,23
11,0, 24,25
12,0, 25,50
13,0, 26,20
14,0, 27,23


17,0, 28,20


24,0, 34,32
26,0, 41,42
27,0, 42,58
28,0, 46,47
29,0, 50,51
30,0, 52,53
31,0, 53,50
32,0, 54,55
33,0, 57,58
34,0, 58,50
35,0, 59,55
36,0, 60,47
37,0, 61,62
38,0, 62,58
39,0, 63,58
40,0, 64,65
41,0, 66,67
42,0, 67,50
2,0, 6,40
3,0, 7,40





43,1, 3,45
44,1, 3,33
45,1, 3,33
46,1, 3,10
47,1, 3,10


50,1, 4,8
51,1, 4,3
52,1, 4,33


55,1, 5,45
56,1, 5,21
57,1, 5,39
58,1, 5,1


































93,1, 8,45

95,1, 9,45
96,1, 9,45




101,1, 10,45
102,1, 11,45
103,1, 11,33
104,1, 11,33
105,1, 11,10
106,1, 11,10















122,1, 15,5
123,1, 15,9
































156,1, 17,15
157,1, 17,43
































































